source,rank,title
誠品,1,"攔截胰臟癌: 破解癌王無聲警報, 及早攔截沉默殺手"
誠品,2,"99%的人輸在不會表達: 話說對了, 事就成了。公司裡該怎麼說話? 麻煩就沒了。"
誠品,3,隨他們去: 改變數百萬人命運的心理技巧 (誠品獨家版/附自在人生語錄卡)
誠品,4,神樂鉢 11 (首刷限定版)
誠品,5,"我們差點忘了相愛: 從備孕、生產到育兒, 心理師爸爸寫下那些疲憊卻依然相愛的日子 (作者親簽版/附給準爸媽的30個溫柔練習)"
誠品,6,"AI科技演化時代, 人往哪裡去? 面對第三次哥白尼革命的省思"
誠品,7,奇蹟男孩 (暢銷十周年增訂版)
誠品,8,新日檢完勝500題N3: 文字．語彙．文法
博客來,1,臺灣漫遊錄
博客來,2,鏈鋸人 (首刷限定版) 23
博客來,3,唯紅花綻放:習近平時代的認同與歸屬
博客來,4,去家庭餐廳吧。 (首刷限定版) 下
博客來,5,隨他們去：全球熱銷突破1000萬冊現象級巨作！改變千萬人命運的心理技巧【博客來獨家版．附內在覺醒影響力躍昇卡】
博客來,6,烙印勇士 (首刷限定版) 43
博客來,7,全新！新制多益 TOEIC 單字大全 ：備考多益唯一推薦權威單字書！不論題型如何變化，內容持續更新，常考字彙表達完全掌握，準確度最高！（附音檔下載QR碼）
博客來,8,Rewire-神經可塑性：用神經科學突破行為模式迴圈，終結焦慮、恐慌和憂鬱，實現最佳的心理健康
博客來,9,惡靈剋星 (首刷限定版) 7
博客來,10,躲在超市後門抽菸的兩人 (特裝版) 8
博客來,11,納瓦爾寶典珍藏版：從白手起家到財務自由，矽谷傳奇創投家的投資哲學與人生智慧
博客來,12,花錢的藝術：打造富足人生的金錢心理學【博客來獨家附贈財富透析．互動金句透卡】
博客來,13,"解憂雜貨店【50萬冊紀念愛藏版】：感動全球1,400 萬人的奇蹟之書，東野圭吾最令人感動落淚的作品！（附首刷限定特典「經典封面集錦明信片」）"
博客來,14,請允許我們身後財產自主：當親情不再可靠， 如何把財富留給真正值得的人
博客來,15,后宮的Ω王子 雪花之章 (首刷限定版) 全
博客來,16,最新！新制多益TOEIC聽力／閱讀題庫解析【博客來獨家套書】：最新收錄精準 10 回模擬試題！完整反映命題趨勢、大幅提升應考能力！（附2 MP3光碟＋音檔下載QR碼）
博客來,17,馬斯克寶典【博客來獨家贈送｜馬斯克「極限思維」火箭升空桌面立牌】：從顛覆矽谷到打造太空帝國，讀懂全球
博客來,18,高飛人生：從華航基層到董事長，46年台灣航空實戰經驗，淬鍊出的經營智慧、決策視野與人生格局
博客來,19,薰香花朵凛然綻放 (首刷限定版) 21
博客來,20,財富階梯：（《持續買進》作者新作）資料科學家為你打造，適用人生各階段的致富策略
博客來,21,Gemini 投資理財全攻略：小資族看過來！完全零門檻的 AI 智慧選股×財報分析×資金管理
博客來,22,鏈鋸人 23
博客來,23,擺脫憂鬱症：12堂從理解、陪伴到療癒的心理修復課
博客來,24,GRAND BLUE碧藍之海 25
博客來,25,難以承受的悸動是戀愛嗎？ 6
博客來,26,我內心的糟糕念頭 (首刷限定版) 13
博客來,27,澈底對你成癮 (首刷限定版) III
博客來,28,神樂鉢 (首刷限定版) 10
博客來,29,隨他們去：全球熱銷突破1000萬冊現象級巨作！改變千萬人命運的心理技巧【附放下執念明信片】
博客來,30,抄寫英語的奇蹟：1天10分鐘，英語和人生都起飛
博客來,31,白夜行（經典單冊回歸版）
博客來,32,原子習慣：細微改變帶來巨大成就的實證法則
博客來,33,在看板對面，聽見人生：方念華
博客來,34,窮查理的普通常識（紀念典藏版）：巴菲特50年智慧合夥人查理．蒙格的人生哲學
博客來,35,【旅行特別版】蛤蟆先生去看心理師（暢銷500萬冊！英國心理諮商經典，附《蛤蟆先生旅遊去萬用卡片》）
博客來,36,少女漫畫無法實現的戀情 1
